Project Name,Ticker,Risk,Optimal BI,Minimal BI,Sell,Multipliers,Category,Focus List,Invest,Investement %,Strategy Tier,Market,Wallet,Comments
Acala,ACA,High,,0.015,,0,Defi,1,,,,Kraken,,
Adapad,ADAPAD,Degen,,0.0015,,,Cardano Blockchain,1,1,,,Gateio,Ledger,
AIPAD,AIPAD,Degen,,0.01,,,AI,1,1,,,Kucoin,Ledger,
Algorand,ALGO,High,,0.04,10,250,Aged L1,,,,,Kucoin/Gateio,azero.dev,
ALI,ALI,Low,,0.0085,0.09,11,AI,1,,,,Kraken,Ledger,
Solana,AOL,Low,,7,,,Aged L1,,,,,Gateio,Ledger,
Ape,APE,High,,0.7,80,114,NFT,1,1,,,Kraken,Ledger,
Aptos,APT,Mid,,2,400,200,New L1,,,,,Kraken,Pontem Wallet,
Arweave,AR,Low,,2,,,Storage,1,,,,Kraken,Ledger,
Arbitrum,ARB,Low,,0.4,30,75,L2 Big Brands,1,,,,?,?,
Star Atlas,ATLAS,Degen,,0.0009,,,Gaming,1,1,,,Binance,,
Avalanch,AVAX,Low,,4,300,75,L0,1,1,,,Kraken,Ledger,
Axie Infinity,AXS,Degen,,1.8,,,NFT,1,,,,Kraken,Ledger,
Aleph Zero,AZERO,High,,0.3,35,117,DAG,1,,,,Gateio,,
Bluzelle,BLZ,High,,0.03,,0,Storage,,,,,Kraken,Ledger,
Bonk,BONK,Degen,,0.00000009,,,Meme,1,,,,Gateio,Ledger,
ChainGPT,CGPT,High,,0.015,,0,AI,1,,,,Kucoin/Gateio,Ledger,
Crust Netwrok,CRU,Degen,,0.2,,,Storage,1,,,,Gateio,Ledger,
DAO Maker,DAO,Low,,0.25,,0,Launchpads,1,1,,,Kucoin/Gateio,Ledger,
Mines,DAR,Mid,,0.03,,0,Gaming,1,,,,Gateio,,
Doge Chain,DC,High,,0.0002,,0,Meme,1,1,,,Gateio,,
Decentralized Social,DESO,Low,,3,,0,DeSo,1,,,,Kucoin/Gateio,Ledger,
Everdome,DOME,Degen,,0.0003,,,Metaverse,1,,,TOM,Binance,?,
Polkadot,DOT,Mid,,2,,,L0,1,,,,Kucoin/Gateio,?,
Floki,FLOKI,Mid,,0.000006,,0,Meme,1,,,,Gateio,Ledger,
Fantom,FTM,Mid,,0.08,,0,DAG,1,1,,,Kraken,Ledger,
Gala,GALA,Low,,0.0085,,0,Game Devs,1,,,,Binance,Ledger,
Games for a Living,GFAL,Degen,,0.004,,,Game Devs,1,1,,,Binance,?,
Moonbeam,GLMR,Degen,,0.06,,,New L1,1,,,TOM,Kraken,Ledger,
Hadera,HBAR,Low,,0.02,2.5,125,DAG,1,1,,,Pancake,Ledger,
Hex,HEX,Mid,,0.0009,2,2222,Defi,1,,,,Binance,Ledger,
