cmc_rank,date_added,symbol,name,price,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,Ticker,Memetics,Risk,Category,Minimal BI,Optimal BI,Generational Price,60x Buy Price,D4,Lower Target Price,Median Target Price,Out Target Price,WW,Last Update,Target Price Source,Strategy Tier,Focus List,Investement %,Price in November 10th (2022),Buy,Drop needed Minimal BI,Drop  needed to Optimal BI,Drop needed to 60x
416,2020-08-28T00:00:00.000Z,ACA,Acala Token,0.04771413212093168,-4.32,14.51,14.85,-18.07,-33.98,23.63,ACA,Polkadot interoperability for DeFi,High Risk (EHR),DeFi,0.03,0.017,0.01,0.035416667,,0.85,2.125,3.4,26.0,45107.0,Suppoman,Super Risk One Shot,1.0,,0.1095,0,37.13,64.37,25.77
7,2017-10-01T00:00:00.000Z,ADA,Cardano,0.2548518884386996,-0.15,-0.25,0.28,-14.0,-10.76,-16.99,ADA,,Low Risk (LR),Layer 1,0.0,0.12,0.0,0.058333333,,0.0,3.5,7.0,0.0,,Suppoman,Blocked,,,0.31657627,0,100,52.91,77.11
112,2018-01-18T00:00:00.000Z,AGIX,SingularityNET,0.1933205247062621,0.09,3.76,7.27,-7.67,-15.89,-22.24,AGIX,,Medium Risk (VHR),AI,0.0,0.0,0.0,0.008333333,,1.0,0.5,0.0,0.0,,,Invest After Research,1.0,0.04,0.4453,0,100,100,95.69
1655,2023-03-01T03:12:00.000Z,AIPAD,AIPAD,0.058973479022563786,-0.13,1.31,-6.76,6.35,8.04,-18.44,AIPAD,,Degen (GHR),AI,0.0,0.0,0.015,0.016666667,,0.0,1.0,2.0,31.0,45140.0,Suppoman,,,,N/A,0,100,100,71.74
46,2019-06-20T00:00:00.000Z,ALGO,Algorand,0.0952579146381627,-0.18,3.22,2.68,-16.43,-14.52,-23.14,ALGO,,Medium Risk (HR),Layer 1,0.14,0.09,0.06,0.039166667,,1.3,2.35,5.85,0.0,,NO BS - Suppoman,DCA,1.0,0.07,0.265649297,1,-46.97,5.52,58.88
325,2022-01-05T09:29:06.000Z,ALI,Artificial Liquid Intelligence,0.01596338489188192,0.45,1.44,1.62,-5.46,-21.9,-37.16,ALI,,High Risk (EHR),AI,0.0,0.0,0.009,0.0075,,0.0,0.45,0.9,31.0,45140.0,Suppoman,Invest After Research,1.0,,0.0089165,0,100,100,53.02
36,2022-10-19T01:50:25.000Z,APT,Aptos,5.593258251741477,-0.23,2.21,1.14,-16.94,-21.39,-25.32,APT,,Low Risk (MR),Layer 1,4.0,3.0,1.5,1.25,,0.0,75.0,150.0,0.0,,Suppoman,Price Target Only,,,3.932399097,0,28.49,46.36,77.65
38,2023-03-23T12:50:11.000Z,ARB,Arbitrum,0.9051352035125734,-0.22,1.59,-1.16,-21.31,-19.99,-20.07,ARB,,Low Risk (MR),Layer 1,0.7,0.4,0.2,0.25,,0.0,15.0,30.0,0.0,,Suppoman,Need to Research,,,N/A,0,22.66,55.81,72.38
94,2021-10-19T09:53:03.000Z,ASTR,Astar,0.059103008913075544,-0.28,6.91,5.58,12.17,40.67,40.71,ASTR,,Medium Risk (VHR),Interoperability - Layer 2,0.0,0.02,0.0,0.0,,0.0,0.0,0.0,0.0,,,Blocked,,,0.036673888,0,100,66.16,100
28,2019-03-14T00:00:00.000Z,ATOM,Cosmos,6.83836690029534,-0.22,0.75,-1.36,-19.91,-27.61,-26.51,ATOM,,Low Risk (LR),Connected Blockchains,5.0,3.0,2.0,1.25,,0.0,75.0,150.0,0.0,,Suppoman,TOM,,,9.759606834,0,26.88,56.13,81.72
19,2020-07-13T00:00:00.000Z,AVAX,Avalanche,9.94534004926285,0.02,0.71,-0.81,-21.26,-28.13,-28.9,AVAX,,Low Risk (LR),Layer 1,5.0,3.0,2.0,2.5,,0.0,150.0,300.0,0.0,,Suppoman,TOM,,,12.88266281,0,49.73,69.84,74.86
160,2022-02-02T02:48:14.000Z,AXL,Axelar,0.35576039874175885,-0.06,-0.71,4.7,-9.07,6.33,-18.09,AXL,,Medium Risk (VHR),Interoperability,0.225,0.15,0.1,0.083333333,,0.0,5.0,10.0,0.0,,Suppoman,Invest and Hold,1.0,0.05,0.6465,0,36.76,57.84,76.58
223,2021-09-20T16:55:23.000Z,AZERO,Aleph Zero,0.8116031475747065,-0.06,6.39,0.77,-12.77,-7.49,-17.58,AZERO,,Medium Risk (VHR),Layer 1,0.5,0.35,0.25,0.5,,0.0,30.0,60.0,0.0,,Suppoman,Invest and Hold,1.0,0.04,0.794262049,0,38.39,56.88,38.39
106,2017-06-01T00:00:00.000Z,BAT,Basic Attention Token,0.1705147483020928,0.11,0.93,0.46,-20.31,-9.7,-12.75,BAT,,Medium Risk (VHR),Content Creation,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,TOM,,,0.23104032,0,100,100,100
565,2021-11-16T03:46:11.000Z,BOBA,Boba Network,0.11976521808005626,0.1,1.6,-0.83,-9.73,-10.17,-25.65,BOBA,Optimistic Roleups Interoperability chain,High Risk (EHR),Interoperability,0.0,0.05,0.0,0.104166667,,5.0,6.25,7.5,26.0,45107.0,Suppoman,Blocked,,,0.219452322,0,100,58.25,13.02
117,2021-09-13T19:17:01.000Z,BONE,Bone ShibaSwap,0.969416072612228,-0.01,-3.85,-19.2,-41.58,-29.65,23.74,BONE,,Medium Risk (VHR),Meme Eco System,0.25,0.15,0.06,0.25,,0.0,15.0,30.0,0.0,,Suppoman,Price Target Only,,,0.027797924,0,74.21,84.53,74.21
2475,2023-07-17T12:36:35.000Z,BROCK,Bitrock,0.07266846530157595,0.19,5.99,-17.94,25.49,1907.04,1907.04,BROCK,,Degen (GHR),Layer 2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Super Risk One Shot,1.0,,N/A,0,100,100,100
